Np,Nc,L,runtime,runtime_err,noise,noise_err,omega,omega_err,gamma,gamma_err
500,10,12.566371,2.869580e-01,1.035252e-02,7.012120e-02,0.000000e+00,2.565634e+00,0.000000e+00,1.493456e-01,0.000000e+00
500,10,18.849556,2.059073e-01,1.373728e-02,9.367076e-02,0.000000e+00,2.309071e+00,0.000000e+00,3.902373e-02,0.000000e+00
500,10,25.132741,2.114143e-01,1.072293e-02,1.448147e-01,0.000000e+00,nan,nan,nan,nan
500,10,31.415927,1.637442e-01,1.115584e-02,1.554998e-01,0.000000e+00,nan,nan,nan,nan
500,20,12.566371,4.260323e-01,9.838219e-03,7.313401e-02,0.000000e+00,2.565634e+00,0.000000e+00,1.624237e-01,0.000000e+00
500,20,18.849556,2.762473e-01,1.631967e-02,9.798306e-02,0.000000e+00,2.430601e+00,0.000000e+00,3.985253e-02,0.000000e+00
500,20,25.132741,2.442035e-01,2.477855e-02,1.534525e-01,0.000000e+00,nan,nan,nan,nan
500,20,31.415927,2.908169e-01,2.149586e-02,1.615935e-01,0.000000e+00,nan,nan,nan,nan
500,40,12.566371,6.918688e-01,2.526613e-02,7.632163e-02,0.000000e+00,2.565634e+00,0.000000e+00,1.839412e-01,0.000000e+00
500,40,18.849556,5.095667e-01,2.566391e-02,9.857129e-02,0.000000e+00,2.430601e+00,0.000000e+00,3.855594e-02,0.000000e+00
500,40,25.132741,4.351982e-01,2.545414e-02,1.549179e-01,0.000000e+00,nan,nan,nan,nan
500,40,31.415927,4.342314e-01,3.303170e-02,1.634518e-01,0.000000e+00,nan,nan,nan,nan
500,80,12.566371,1.329397e+00,6.249887e-02,7.573642e-02,0.000000e+00,2.565634e+00,0.000000e+00,1.768878e-01,0.000000e+00
500,80,18.849556,9.420270e-01,6.633951e-02,9.690467e-02,0.000000e+00,2.430601e+00,0.000000e+00,4.003968e-02,0.000000e+00
500,80,25.132741,8.232263e-01,3.707265e-02,1.547044e-01,0.000000e+00,nan,nan,nan,nan
500,80,31.415927,7.852082e-01,4.286202e-02,1.644698e-01,0.000000e+00,nan,nan,nan,nan
1000,10,12.566371,4.603707e-01,2.290232e-02,3.873852e-02,0.000000e+00,nan,nan,nan,nan
1000,10,18.849556,2.870079e-01,2.449511e-02,7.504184e-02,0.000000e+00,nan,nan,nan,nan
1000,10,25.132741,3.063899e-01,1.655969e-02,9.070340e-02,0.000000e+00,nan,nan,nan,nan
1000,10,31.415927,2.764846e-01,1.725735e-02,1.210779e-01,0.000000e+00,nan,nan,nan,nan
1000,20,12.566371,5.896202e-01,2.496731e-02,3.431076e-02,0.000000e+00,nan,nan,nan,nan
1000,20,18.849556,4.508224e-01,2.980064e-02,7.669909e-02,0.000000e+00,nan,nan,nan,nan
