time,firstharmonic
# noise_floor=0.0005294255771643539, sat_time=0.4020100502512563
0.000000000000000000e+00,1.681792471829509500e-02
4.020100502512563012e-01,1.736590265327210905e-02
8.040201005025126024e-01,1.486701345488073388e-02
1.206030150753768959e+00,1.010134831659687329e-02
1.608040201005025205e+00,3.975090483396010420e-03
2.010050251256281673e+00,2.719982868002511576e-03
2.412060301507537918e+00,7.404006332688814300e-03
2.814070351758794164e+00,9.798792529576959287e-03
3.216080402010050410e+00,9.213167439519810709e-03
3.618090452261306655e+00,5.631285391604028481e-03
4.020100502512563345e+00,5.294255771643538878e-04
4.422110552763819591e+00,7.931098740463233404e-03
4.824120603015075837e+00,1.553225093559689948e-02
5.226130653266332082e+00,2.170850821347509313e-02
5.628140703517588328e+00,2.550745460382972812e-02
6.030150753768844574e+00,2.653067052175397261e-02
6.432160804020100819e+00,2.446552710412914361e-02
6.834170854271357065e+00,2.049003480661727369e-02
7.236180904522613311e+00,1.535466553768357820e-02
7.638190954773869557e+00,1.051544667643214068e-02
8.040201005025126690e+00,7.650343141202988091e-03
8.442211055276382936e+00,6.890353684414517350e-03
8.844221105527639182e+00,9.655071364085009850e-03
9.246231155778895427e+00,1.518767919125628939e-02
9.648241206030151673e+00,2.308781033389354850e-02
1.005025125628140792e+01,3.240168345928941956e-02
1.045226130653266416e+01,4.135141950437373065e-02
1.085427135678392041e+01,4.866801200652971088e-02
1.125628140703517666e+01,5.305871989020181229e-02
1.165829145728643290e+01,5.448233047077057772e-02
1.206030150753768915e+01,5.277378536409819965e-02
1.246231155778894539e+01,4.777345023299782445e-02
1.286432160804020164e+01,4.108824713853916760e-02
1.326633165829145788e+01,3.368441575111050246e-02
1.366834170854271413e+01,2.595964500542007752e-02
1.407035175879397038e+01,1.973291930541180850e-02
1.447236180904522662e+01,1.533293920114525699e-02
1.487437185929648287e+01,1.395402737651000105e-02
1.527638190954773911e+01,1.406420190492842573e-02
1.567839195979899536e+01,1.433731020541082965e-02
1.608040201005025338e+01,1.313473270955766402e-02
1.648241206030150963e+01,9.407254415769401856e-03
1.688442211055276587e+01,1.566620235520107401e-02
1.728643216080402212e+01,3.572570885193786239e-02
1.768844221105527836e+01,6.017603606165086022e-02
1.809045226130653461e+01,8.309052849550728481e-02
1.849246231155779085e+01,9.998027527007244397e-02
1.889447236180904710e+01,1.077155466788325133e-01
1.929648241206030335e+01,1.045999692788358582e-01
1.969849246231155959e+01,9.089704474222126684e-02
2.010050251256281584e+01,6.980406302912173233e-02
2.050251256281407208e+01,4.435157778576181292e-02
2.090452261306532833e+01,2.515551047064058451e-02
2.130653266331658457e+01,2.660829598085526215e-02
2.170854271356784082e+01,3.560905230986140257e-02
2.211055276381909707e+01,3.869567015802918147e-02
2.251256281407035331e+01,3.833148925385877759e-02
2.291457286432160956e+01,4.595426187855611300e-02
2.331658291457286580e+01,6.586809224807338436e-02
2.371859296482412205e+01,9.212607325505003941e-02
2.412060301507537829e+01,1.151926150447305924e-01
2.452261306532663454e+01,1.287334669452152025e-01
2.492462311557789079e+01,1.300562353752841294e-01
2.532663316582914703e+01,1.178924728164249258e-01
2.572864321608040328e+01,9.378130161658572439e-02
2.613065326633165952e+01,6.421117829565056723e-02
2.653266331658291577e+01,4.324892293548730782e-02
2.693467336683417201e+01,4.421707783729554586e-02
2.733668341708542826e+01,5.154282554277864886e-02
2.773869346733668451e+01,5.020272783626744673e-02
2.814070351758794075e+01,4.565872490287879726e-02
2.854271356783919700e+01,5.948387561416788871e-02
2.894472361809045324e+01,8.959668774596984964e-02
2.934673366834170949e+01,1.198464457567482988e-01
2.974874371859296573e+01,1.395157510319523508e-01
3.015075376884422198e+01,1.434497362201384574e-01
3.055276381909547823e+01,1.302796647136467423e-01
3.095477386934673447e+01,1.036218059258558200e-01
3.135678391959799072e+01,6.935019852201410040e-02
3.175879396984924696e+01,4.338527573689333894e-02
3.216080402010050676e+01,4.822935557273205776e-02
3.256281407035176301e+01,6.636150157929046611e-02
3.296482412060301925e+01,7.501022865265130624e-02
3.336683417085427550e+01,6.865260074414269997e-02
3.376884422110553174e+01,5.111943393679951875e-02
3.417085427135678799e+01,3.958016397065326070e-02
3.457286432160804424e+01,5.676952390978490248e-02
3.497487437185930048e+01,8.422565261294290284e-02
3.537688442211055673e+01,1.043077279318878753e-01
3.577889447236181297e+01,1.093185906124690410e-01
3.618090452261306922e+01,9.873453805094653535e-02
3.658291457286432546e+01,7.303174324391231709e-02
3.698492462311558171e+01,3.907823999472253423e-02
3.738693467336683796e+01,1.935445290035894828e-02
3.778894472361809420e+01,4.712377955075199715e-02
3.819095477386935045e+01,7.348309426834666314e-02
3.859296482412060669e+01,8.705073489061238012e-02
3.899497487437186294e+01,8.472163994141793109e-02
3.939698492462311918e+01,6.931743420543891310e-02
3.979899497487437543e+01,4.773106934894439518e-02
4.020100502512563168e+01,3.368655747661085387e-02
4.060301507537688792e+01,3.876947062530612664e-02
4.100502512562814417e+01,4.785677224403765695e-02
4.140703517587940041e+01,4.822792882422064636e-02
4.180904522613065666e+01,3.602308687260824538e-02
4.221105527638191290e+01,1.402994820151067835e-02
4.261306532663316915e+01,2.332527495107578411e-02
4.301507537688442540e+01,5.562194600683301182e-02
4.341708542713568164e+01,8.394342894054231119e-02
4.381909547738693789e+01,1.022122518359575294e-01
4.422110552763819413e+01,1.071348258582481144e-01
4.462311557788945038e+01,9.921937068465476461e-02
4.502512562814070662e+01,8.168598883296698809e-02
4.542713567839196287e+01,6.019223975852080327e-02
4.582914572864321912e+01,4.300232202121231223e-02
4.623115577889447536e+01,3.405271267024493481e-02
4.663316582914573161e+01,2.826768818353787502e-02
4.703517587939698785e+01,1.914871589441446628e-02
4.743718592964824410e+01,1.372439609605642999e-02
4.783919597989950034e+01,3.087586418687673223e-02
4.824120603015075659e+01,5.481451058373110197e-02
4.864321608040201284e+01,7.778451286939799814e-02
4.904522613065326908e+01,9.597166087498938680e-02
4.944723618090452533e+01,1.070896730238571487e-01
4.984924623115578157e+01,1.097037848279694694e-01
5.025125628140703782e+01,1.036259924692480849e-01
5.065326633165829406e+01,9.053880820880391700e-02
5.105527638190955031e+01,7.245982677477323664e-02
5.145728643216080656e+01,5.289235450703657498e-02
5.185929648241206280e+01,3.544744070806622738e-02
5.226130653266331905e+01,2.260178081664384470e-02
5.266331658291457529e+01,1.446205057960935417e-02
5.306532663316583154e+01,1.033205013935001478e-02
5.346733668341708778e+01,1.818813457406433590e-02
5.386934673366834403e+01,3.510102868535226739e-02
5.427135678391960028e+01,5.485072394184901251e-02
5.467336683417085652e+01,7.330702005495691453e-02
5.507537688442211277e+01,8.682612083393900781e-02
5.547738693467336901e+01,9.258705925978491513e-02
5.587939698492462526e+01,8.995586730912653872e-02
5.628140703517588150e+01,7.974495233922782034e-02
5.668341708542713775e+01,6.336055486378071311e-02
5.708542713567839400e+01,4.460844115434452889e-02
5.748743718592965024e+01,2.692213392300370906e-02
5.788944723618090649e+01,1.533981664745734039e-02
5.829145728643216273e+01,1.800399421240392664e-02
5.869346733668341898e+01,2.958435713753113788e-02
5.909547738693467522e+01,4.509666699910269694e-02
5.949748743718593147e+01,6.274523641978965727e-02
5.989949748743718771e+01,7.985155384917963506e-02
6.030150753768844396e+01,9.263432179521340071e-02
6.070351758793970021e+01,9.779047534750570647e-02
6.110552763819095645e+01,9.312555987756704345e-02
6.150753768844221270e+01,7.951607459949501522e-02
6.190954773869346894e+01,5.893428298385726405e-02
