time,firstharmonic
# noise_floor=0.0016535521393379903, sat_time=0.0
0.000000000000000000e+00,1.790307923573950660e-02
4.020100502512563012e-01,1.459632193753769916e-02
8.040201005025126024e-01,8.798262614799028797e-03
1.206030150753768959e+00,2.252568129393220896e-03
1.608040201005025205e+00,6.200949313858819013e-03
2.010050251256281673e+00,1.224164838890238680e-02
2.412060301507537918e+00,1.636174650236435837e-02
2.814070351758794164e+00,1.776554178960585914e-02
3.216080402010050410e+00,1.592544124851371160e-02
3.618090452261306655e+00,1.137914851630414739e-02
4.020100502512563345e+00,5.172342728206609508e-03
4.422110552763819591e+00,3.077808490542097413e-03
4.824120603015075837e+00,9.617694154244857754e-03
5.226130653266332082e+00,1.475988694241454381e-02
5.628140703517588328e+00,1.741990818737488428e-02
6.030150753768844574e+00,1.726527270246052542e-02
6.432160804020100819e+00,1.401026194438114228e-02
6.834170854271357065e+00,8.294657645738503018e-03
7.236180904522613311e+00,1.754726868039473489e-03
7.638190954773869557e+00,6.681878662443406156e-03
8.040201005025126690e+00,1.295144027471897483e-02
8.442211055276382936e+00,1.713544029141254865e-02
8.844221105527639182e+00,1.857124989639768325e-02
9.246231155778895427e+00,1.700259060368065206e-02
9.648241206030151673e+00,1.259185643429951151e-02
1.005025125628140792e+01,6.327794585046531486e-03
1.045226130653266416e+01,2.443525651633995672e-03
1.085427135678392041e+01,8.300224351810421217e-03
1.125628140703517666e+01,1.350890179376889808e-02
1.165829145728643290e+01,1.621584409669733079e-02
1.206030150753768915e+01,1.606565058935906579e-02
1.246231155778894539e+01,1.312113489163512295e-02
1.286432160804020164e+01,7.575539379510503810e-03
1.326633165829145788e+01,1.653552139337990338e-03
1.366834170854271413e+01,7.299970344135408781e-03
1.407035175879397038e+01,1.347235179825177764e-02
1.447236180904522662e+01,1.771575505193404357e-02
1.487437185929648287e+01,1.932515435675997290e-02
1.527638190954773911e+01,1.774232329161507665e-02
1.567839195979899536e+01,1.364545309369137940e-02
1.608040201005025338e+01,7.793819162119445046e-03
1.648241206030150963e+01,2.440391795931199075e-03
1.688442211055276587e+01,6.891930320471332735e-03
1.728643216080402212e+01,1.217889567743832453e-02
1.768844221105527836e+01,1.544801585586167737e-02
1.809045226130653461e+01,1.569117403532301752e-02
1.849246231155779085e+01,1.321454399216436502e-02
1.889447236180904710e+01,8.331486245367385191e-03
1.929648241206030335e+01,2.290545113219927958e-03
1.969849246231155959e+01,5.784068546235477705e-03
2.010050251256281584e+01,1.193831953068238798e-02
2.050251256281407208e+01,1.641667186132770434e-02
2.090452261306532833e+01,1.820975496494140269e-02
2.130653266331658457e+01,1.727526885090594280e-02
2.170854271356784082e+01,1.372527712444121875e-02
2.211055276381909707e+01,8.167392481710559343e-03
2.251256281407035331e+01,2.228579235847570270e-03
2.291457286432160956e+01,5.858958199972375512e-03
2.331658291457286580e+01,1.135464226796664700e-02
2.371859296482412205e+01,1.484435407068177872e-02
2.412060301507537829e+01,1.580104444874430580e-02
2.452261306532663454e+01,1.393859177956978737e-02
2.492462311557789079e+01,9.646845513777750625e-03
2.532663316582914703e+01,3.671145638823708566e-03
2.572864321608040328e+01,3.119061636997618077e-03
2.613065326633165952e+01,9.370490196676716996e-03
2.653266331658291577e+01,1.425854810159516220e-02
2.693467336683417201e+01,1.680567119800123813e-02
2.733668341708542826e+01,1.662973803460441463e-02
2.773869346733668451e+01,1.383789604292051320e-02
2.814070351758794075e+01,8.852678938803076186e-03
2.854271356783919700e+01,3.211508153956677773e-03
2.894472361809045324e+01,5.485961586468997633e-03
2.934673366834170949e+01,1.088710233898155556e-02
2.974874371859296573e+01,1.463215646569190898e-02
3.015075376884422198e+01,1.600427805842817922e-02
3.055276381909547823e+01,1.464282927076320830e-02
3.095477386934673447e+01,1.067919412780730416e-02
3.135678391959799072e+01,4.998335958116864944e-03
3.175879396984924696e+01,2.117197828138026386e-03
3.216080402010050676e+01,8.307029024941157275e-03
3.256281407035176301e+01,1.344012170864825051e-02
3.296482412060301925e+01,1.632490143585284964e-02
3.336683417085427550e+01,1.657548162207399256e-02
3.376884422110553174e+01,1.419023011104146234e-02
3.417085427135678799e+01,9.674481170651406600e-03
3.457286432160804424e+01,4.191137453577276593e-03
3.497487437185930048e+01,4.178694810129158360e-03
3.537688442211055673e+01,9.424069642333133059e-03
3.577889447236181297e+01,1.341772264310315578e-02
3.618090452261306922e+01,1.520463277190825004e-02
3.658291457286432546e+01,1.459768741330368449e-02
3.698492462311558171e+01,1.152537276479570147e-02
3.738693467336683796e+01,6.518278027659136879e-03
3.778894472361809420e+01,2.233366250106752667e-03
3.819095477386935045e+01,6.374180404098030335e-03
3.859296482412060669e+01,1.130624494261085050e-02
3.899497487437186294e+01,1.462077326302371749e-02
3.939698492462311918e+01,1.554794924629377892e-02
3.979899497487437543e+01,1.398598383187651430e-02
4.020100502512563168e+01,1.027582311622476062e-02
4.060301507537688792e+01,5.436180492451929587e-03
4.100502512562814417e+01,4.290366213493597251e-03
4.140703517587940041e+01,9.042746580212776206e-03
4.180904522613065666e+01,1.349610227652958336e-02
4.221105527638191290e+01,1.602269185925978348e-02
4.261306532663316915e+01,1.589344709807518838e-02
4.301507537688442540e+01,1.333891127529185372e-02
4.341708542713568164e+01,8.793232929278055332e-03
4.381909547738693789e+01,3.579512070000529650e-03
4.422110552763819413e+01,4.795814931487478970e-03
4.462311557788945038e+01,9.953926562264613434e-03
4.502512562814070662e+01,1.378109018416403056e-02
4.542713567839196287e+01,1.523967138196613037e-02
4.582914572864321912e+01,1.421229967409957419e-02
4.623115577889447536e+01,1.098133028257065706e-02
4.663316582914573161e+01,6.233157942528457646e-03
4.703517587939698785e+01,4.160061916071452690e-03
4.743718592964824410e+01,8.554882356863170723e-03
4.783919597989950034e+01,1.318222163584186271e-02
4.824120603015075659e+01,1.599251061853986314e-02
4.864321608040201284e+01,1.630765773055726717e-02
4.904522613065326908e+01,1.417573214246707625e-02
4.944723618090452533e+01,9.927293543404951473e-03
4.984924623115578157e+01,4.252186565849023700e-03
5.025125628140703782e+01,3.585487657251412632e-03
5.065326633165829406e+01,9.156680230527090847e-03
5.105527638190955031e+01,1.325359966466913009e-02
5.145728643216080656e+01,1.523954879184124568e-02
5.185929648241206280e+01,1.480235066436510691e-02
5.226130653266331905e+01,1.171728075922726445e-02
5.266331658291457529e+01,7.198100219734902827e-03
5.306532663316583154e+01,5.146630426510116416e-03
5.346733668341708778e+01,9.416014961006330397e-03
5.386934673366834403e+01,1.433767695869736514e-02
5.427135678391960028e+01,1.745618707350951940e-02
5.467336683417085652e+01,1.810500988045718462e-02
5.507537688442211277e+01,1.617805337700073745e-02
5.547738693467336901e+01,1.187398724574378547e-02
5.587939698492462526e+01,6.242586607589190387e-03
5.628140703517588150e+01,2.846210851184166613e-03
5.668341708542713775e+01,7.256843217525071540e-03
5.708542713567839400e+01,1.130671713753932973e-02
5.748743718592965024e+01,1.310124941990979328e-02
5.788944723618090649e+01,1.256247970705570358e-02
5.829145728643216273e+01,9.788856871351784422e-03
5.869346733668341898e+01,6.476841128559070182e-03
5.909547738693467522e+01,7.283968493713201438e-03
5.949748743718593147e+01,1.208818669671687940e-02
5.989949748743718771e+01,1.691482885121687457e-02
6.030150753768844396e+01,1.995001634798383369e-02
6.070351758793970021e+01,2.074230248740124502e-02
6.110552763819095645e+01,1.909335810712798134e-02
6.150753768844221270e+01,1.509283443021593694e-02
6.190954773869346894e+01,9.793140349082997409e-03
6.231155778894472519e+01,4.721710047631956161e-03
6.271356783919598143e+01,4.687892809539577661e-03
6.311557788944723768e+01,7.844818820476275392e-03
6.351758793969849393e+01,9.866693858733528028e-03
6.391959798994975017e+01,9.653655454686048062e-03
6.432160804020101352e+01,7.945915380768112796e-03
6.472361809045226266e+01,6.797711861276244452e-03
6.512562814070352601e+01,9.031766215992897279e-03
6.552763819095477515e+01,1.310944664063884955e-02
6.592964824120603851e+01,1.691535010669948866e-02
6.633165829145728765e+01,1.914490797198902319e-02
6.673366834170855100e+01,1.915754078067932048e-02
6.713567839195980014e+01,1.707158181364381092e-02
6.753768844221106349e+01,1.333453378237865229e-02
6.793969849246231263e+01,8.560174059216480932e-03
6.834170854271357598e+01,3.959974083990938989e-03
6.874371859296482512e+01,3.306066902055039471e-03
6.914572864321608847e+01,5.819138572234170380e-03
6.954773869346733761e+01,7.259380925537703075e-03
6.994974874371860096e+01,7.159819100769575402e-03
7.035175879396985010e+01,6.196670797762239558e-03
7.075376884422111345e+01,6.360201532459424864e-03
7.115577889447236259e+01,8.845409188932448069e-03
7.155778894472362595e+01,1.225081154706805439e-02
7.195979899497487509e+01,1.540251537450819906e-02
7.236180904522613844e+01,1.734865866354306715e-02
7.276381909547738758e+01,1.748548881074908634e-02
7.316582914572865093e+01,1.584045538599556519e-02
7.356783919597990007e+01,1.238859288618335795e-02
7.396984924623116342e+01,7.708460637129897763e-03
7.437185929648241256e+01,2.498309033222363869e-03
7.477386934673367591e+01,2.410933219564698540e-03
