time,firstharmonic
# noise_floor=0.002241374889342626, sat_time=0.0
0.000000000000000000e+00,1.821540424203703032e-02
4.020100502512563012e-01,1.573032560794589141e-02
8.040201005025126024e-01,1.066082065686402118e-02
1.206030150753768959e+00,5.117564031927105718e-03
1.608040201005025205e+00,5.370345441369668571e-03
2.010050251256281673e+00,9.383231971871798874e-03
2.412060301507537918e+00,1.128033178810734088e-02
2.814070351758794164e+00,9.573671353593484964e-03
3.216080402010050410e+00,4.920504042057344610e-03
3.618090452261306655e+00,2.241374889342625989e-03
4.020100502512563345e+00,9.787933066652512032e-03
4.422110552763819591e+00,1.651642062050508869e-02
4.824120603015075837e+00,2.108058073310176833e-02
5.226130653266332082e+00,2.262854098371562539e-02
5.628140703517588328e+00,2.155589277204181253e-02
6.030150753768844574e+00,1.860820139089552211e-02
6.432160804020100819e+00,1.586840113247120834e-02
6.834170854271357065e+00,1.461556440021796743e-02
7.236180904522613311e+00,1.471634244530253301e-02
7.638190954773869557e+00,1.497588121730805168e-02
8.040201005025126690e+00,1.662012387515773154e-02
8.442211055276382936e+00,2.202423465489975959e-02
8.844221105527639182e+00,3.115801075825114230e-02
9.246231155778895427e+00,4.254933099026184107e-02
9.648241206030151673e+00,5.387462347188600592e-02
1.005025125628140792e+01,6.389595739273096209e-02
1.045226130653266416e+01,7.230766191209812843e-02
1.085427135678392041e+01,7.887358458509004244e-02
1.125628140703517666e+01,8.514877129663486754e-02
1.165829145728643290e+01,9.163792895512198888e-02
1.206030150753768915e+01,1.002497363048265033e-01
1.246231155778894539e+01,1.124346984446260161e-01
1.286432160804020164e+01,1.285499152663676370e-01
1.326633165829145788e+01,1.488342451957751500e-01
1.366834170854271413e+01,1.724960537196255916e-01
1.407035175879397038e+01,1.980896358227370868e-01
1.447236180904522662e+01,2.222850264187285485e-01
1.487437185929648287e+01,2.428681309771387187e-01
1.527638190954773911e+01,2.559159300187304198e-01
1.567839195979899536e+01,2.585051007755962416e-01
1.608040201005025338e+01,2.471395679993943217e-01
1.648241206030150963e+01,2.191887892573116670e-01
1.688442211055276587e+01,1.747543971268415708e-01
1.728643216080402212e+01,1.204626722050816251e-01
1.768844221105527836e+01,7.015239164098105440e-02
1.809045226130653461e+01,4.090305506948087311e-02
1.849246231155779085e+01,4.680348065904162136e-02
1.889447236180904710e+01,8.957521504461486705e-02
1.929648241206030335e+01,1.505709311722196464e-01
1.969849246231155959e+01,2.112286016191355087e-01
2.010050251256281584e+01,2.537465733605574481e-01
2.050251256281407208e+01,2.653270123280153658e-01
2.090452261306532833e+01,2.396555076402313578e-01
2.130653266331658457e+01,1.807221141564551714e-01
2.170854271356784082e+01,1.034767308496971905e-01
2.211055276381909707e+01,6.245641788159232710e-02
2.251256281407035331e+01,1.123984893150683506e-01
2.291457286432160956e+01,1.595738469663847414e-01
2.331658291457286580e+01,1.703100089731326983e-01
2.371859296482412205e+01,1.410651161057860370e-01
2.412060301507537829e+01,9.065009399983467442e-02
2.452261306532663454e+01,8.526144754901356093e-02
2.492462311557789079e+01,1.463313570019987297e-01
2.532663316582914703e+01,2.050261105816109652e-01
2.572864321608040328e+01,2.331774979488267230e-01
2.613065326633165952e+01,2.230440051039070948e-01
2.653266331658291577e+01,1.766146822839096686e-01
2.693467336683417201e+01,1.100428928294967107e-01
2.733668341708542826e+01,6.891370204261455801e-02
2.773869346733668451e+01,9.736725111625867124e-02
2.814070351758794075e+01,1.248280902006653620e-01
2.854271356783919700e+01,1.161415900755887048e-01
2.894472361809045324e+01,6.727356085025118504e-02
2.934673366834170949e+01,1.890142926154638262e-02
2.974874371859296573e+01,1.046797617690385651e-01
3.015075376884422198e+01,1.843350998539748375e-01
3.055276381909547823e+01,2.342050471880864626e-01
3.095477386934673447e+01,2.446736305996435878e-01
3.135678391959799072e+01,2.134934270485823460e-01
3.175879396984924696e+01,1.494747189057071546e-01
3.216080402010050676e+01,6.784620969705637550e-02
