vbeam,gamma_mean,gamma_std
0.000000000000000000e+00,-3.975531804179666925e-05,0.000000000000000000e+00
4.000000000000000222e-01,-3.803307906048288499e-04,0.000000000000000000e+00
8.000000000000000444e-01,9.631085113529340175e-04,0.000000000000000000e+00
1.200000000000000178e+00,8.719099423113669872e-04,1.122631306954218573e-04
1.600000000000000089e+00,-3.108692572501781039e-04,0.000000000000000000e+00
2.000000000000000000e+00,3.305618452329129524e-04,0.000000000000000000e+00
2.400000000000000355e+00,5.009222345157335679e-03,0.000000000000000000e+00
2.800000000000000266e+00,1.685219900812806896e-03,3.266982695830534991e-03
3.200000000000000178e+00,4.715943069217375105e-03,0.000000000000000000e+00
3.600000000000000089e+00,1.130392375566933831e-02,0.000000000000000000e+00
4.000000000000000000e+00,1.426129652171589934e-02,1.695417879216899000e-03
4.400000000000000355e+00,1.833896998423175523e-02,0.000000000000000000e+00
4.800000000000000711e+00,1.725294675018654300e-02,0.000000000000000000e+00
5.200000000000000178e+00,1.395137300457799899e-02,1.734723475976807094e-18
5.600000000000000533e+00,1.855529532277075400e-02,3.427551985454110710e-03
6.000000000000000000e+00,1.812845028734597075e-02,0.000000000000000000e+00
