time,firstharmonic
# vbeam=3.789473684210526, gamma=-0.0092, sat_time=None
0.000000000000000000e+00,6.640464055064551445e-03
4.020100502512563012e-01,5.997839411412789722e-03
8.040201005025126024e-01,4.120342381454813845e-03
1.206030150753768959e+00,1.854014730148615146e-03
1.608040201005025205e+00,5.488240286874959033e-04
2.010050251256281673e+00,2.738828365352450993e-03
2.412060301507537918e+00,4.337456253503128162e-03
2.814070351758794164e+00,4.706285051778035140e-03
3.216080402010050410e+00,4.140160682980236970e-03
3.618090452261306655e+00,2.604201194641206796e-03
4.020100502512563345e+00,5.359418009075681954e-04
4.422110552763819591e+00,2.424733424638550981e-03
4.824120603015075837e+00,4.804024274385323111e-03
5.226130653266332082e+00,6.538359316201454441e-03
5.628140703517588328e+00,7.462859699682113102e-03
6.030150753768844574e+00,7.426837204072655844e-03
6.432160804020100819e+00,6.464241239165437365e-03
6.834170854271357065e+00,4.615267028680218077e-03
7.236180904522613311e+00,2.345169267685407073e-03
7.638190954773869557e+00,3.193658133251316383e-04
8.040201005025126690e+00,1.426125454261099532e-03
8.442211055276382936e+00,2.535433781546412354e-03
8.844221105527639182e+00,2.487860708990955946e-03
9.246231155778895427e+00,1.559631167432716254e-03
9.648241206030151673e+00,5.354920394701009499e-04
1.005025125628140792e+01,2.606226989718699906e-03
1.045226130653266416e+01,5.061073477052962372e-03
1.085427135678392041e+01,7.477755106778313614e-03
1.125628140703517666e+01,9.322220638776220272e-03
1.165829145728643290e+01,1.021692878427517617e-02
1.206030150753768915e+01,1.032253408612509790e-02
1.246231155778894539e+01,9.239989280339885522e-03
1.286432160804020164e+01,7.385374646990257481e-03
1.326633165829145788e+01,5.058090421311499905e-03
1.366834170854271413e+01,2.762364739292657266e-03
1.407035175879397038e+01,1.478458271904402408e-03
1.447236180904522662e+01,1.465114709295166871e-03
1.487437185929648287e+01,1.273448222137902198e-03
1.527638190954773911e+01,8.763046450789792514e-05
1.567839195979899536e+01,2.060320877053440324e-03
1.608040201005025338e+01,4.966590567676077914e-03
1.648241206030150963e+01,7.917901201242243114e-03
1.688442211055276587e+01,1.049823180784101653e-02
1.728643216080402212e+01,1.257845209807690115e-02
1.768844221105527836e+01,1.341385778533366394e-02
1.809045226130653461e+01,1.326598888766620209e-02
1.849246231155779085e+01,1.205683739572047455e-02
1.889447236180904710e+01,1.017287920158195177e-02
1.929648241206030335e+01,8.050401357235432639e-03
1.969849246231155959e+01,5.890531585722947640e-03
2.010050251256281584e+01,3.982807144467661459e-03
2.050251256281407208e+01,2.723267693834683419e-03
2.090452261306532833e+01,1.997319377707844172e-03
2.130653266331658457e+01,2.254087972687630632e-03
2.170854271356784082e+01,4.128723452853250500e-03
2.211055276381909707e+01,6.684784781830897804e-03
2.251256281407035331e+01,9.400196046840548353e-03
2.291457286432160956e+01,1.177313371275305089e-02
2.331658291457286580e+01,1.345882040729546626e-02
2.371859296482412205e+01,1.421444896180457974e-02
2.412060301507537829e+01,1.423526040112433125e-02
2.452261306532663454e+01,1.340291551677301810e-02
2.492462311557789079e+01,1.173539922645498723e-02
2.532663316582914703e+01,9.566332775423680435e-03
2.572864321608040328e+01,7.147537950942982159e-03
2.613065326633165952e+01,4.855062351743513922e-03
2.653266331658291577e+01,3.471402710413807376e-03
2.693467336683417201e+01,3.521822154221652783e-03
2.733668341708542826e+01,4.655476194527891597e-03
2.773869346733668451e+01,6.377593087047643376e-03
2.814070351758794075e+01,8.508192660716593775e-03
2.854271356783919700e+01,1.084287385652691824e-02
2.894472361809045324e+01,1.318607655665940404e-02
2.934673366834170949e+01,1.495287640443147305e-02
2.974874371859296573e+01,1.566360508050895772e-02
3.015075376884422198e+01,1.570224982948812201e-02
3.055276381909547823e+01,1.464066438153784414e-02
3.095477386934673447e+01,1.307596595535935949e-02
3.135678391959799072e+01,1.107107591463712438e-02
3.175879396984924696e+01,8.923056352828353729e-03
3.216080402010050676e+01,7.203212718248931321e-03
3.256281407035176301e+01,6.209366777232634173e-03
3.296482412060301925e+01,6.023332659452965490e-03
3.336683417085427550e+01,6.677877377781675332e-03
3.376884422110553174e+01,7.796801286726158346e-03
3.417085427135678799e+01,9.180148697834462912e-03
3.457286432160804424e+01,1.050502559241579814e-02
3.497487437185930048e+01,1.181665441572894021e-02
3.537688442211055673e+01,1.261252937152509100e-02
3.577889447236181297e+01,1.285932330610469951e-02
3.618090452261306922e+01,1.247894612058199695e-02
3.658291457286432546e+01,1.170616263448727087e-02
3.698492462311558171e+01,1.063408096624162899e-02
3.738693467336683796e+01,9.564621055293247992e-03
3.778894472361809420e+01,8.700465626896677906e-03
3.819095477386935045e+01,8.029000912119268682e-03
3.859296482412060669e+01,7.710396782483815159e-03
3.899497487437186294e+01,7.734442513177457353e-03
3.939698492462311918e+01,8.078812538093622930e-03
3.979899497487437543e+01,8.874030622257941120e-03
4.020100502512563168e+01,1.004174615875093671e-02
4.060301507537688792e+01,1.118082987432949746e-02
4.100502512562814417e+01,1.244185024009482506e-02
4.140703517587940041e+01,1.327731899255240114e-02
4.180904522613065666e+01,1.356694896574506780e-02
4.221105527638191290e+01,1.338724343089079186e-02
4.261306532663316915e+01,1.235029080510208557e-02
4.301507537688442540e+01,1.085044834527895338e-02
4.341708542713568164e+01,8.848170301299401047e-03
4.381909547738693789e+01,6.816602975982346754e-03
4.422110552763819413e+01,5.156381976488558228e-03
4.462311557788945038e+01,4.087318664356205840e-03
4.502512562814070662e+01,3.883340471805222377e-03
4.542713567839196287e+01,4.417113168559807027e-03
4.582914572864321912e+01,5.566850187603122196e-03
4.623115577889447536e+01,7.338577289557561729e-03
4.663316582914573161e+01,9.477507610249406161e-03
4.703517587939698785e+01,1.097187703762241527e-02
4.743718592964824410e+01,1.188792354416684863e-02
4.783919597989950034e+01,1.181785444199888804e-02
4.824120603015075659e+01,1.077204508449921758e-02
4.864321608040201284e+01,9.207204054821619549e-03
4.904522613065326908e+01,7.417092394216509392e-03
4.944723618090452533e+01,5.532203920257574431e-03
4.984924623115578157e+01,3.751655220355732366e-03
5.025125628140703782e+01,2.462357167728119675e-03
5.065326633165829406e+01,1.549459592331901836e-03
5.105527638190955031e+01,1.940580496808848960e-03
5.145728643216080656e+01,3.067739271235741649e-03
5.185929648241206280e+01,4.441483666464570573e-03
5.226130653266331905e+01,5.877956146619614172e-03
5.266331658291457529e+01,6.998051290569580474e-03
5.306532663316583154e+01,7.968799903508695312e-03
5.346733668341708778e+01,8.241470613849787713e-03
5.386934673366834403e+01,8.025230777770562748e-03
5.427135678391960028e+01,7.402183715485744983e-03
5.467336683417085652e+01,6.276968468999973363e-03
5.507537688442211277e+01,4.845687306066730551e-03
5.547738693467336901e+01,3.247059361339908572e-03
5.587939698492462526e+01,1.819819550635763629e-03
5.628140703517588150e+01,8.069652118223042542e-04
5.668341708542713775e+01,1.116023374455172006e-03
5.708542713567839400e+01,1.734906720715536114e-03
5.748743718592965024e+01,1.681843317968709662e-03
5.788944723618090649e+01,1.573346757732842606e-03
5.829145728643216273e+01,1.805125686846130407e-03
5.869346733668341898e+01,2.557047788955479298e-03
5.909547738693467522e+01,3.764027829222420848e-03
5.949748743718593147e+01,4.690727980003891844e-03
5.989949748743718771e+01,5.208303419402851055e-03
6.030150753768844396e+01,5.424570333800213251e-03
6.070351758793970021e+01,4.947050790851489042e-03
6.110552763819095645e+01,4.020140963274259141e-03
6.150753768844221270e+01,2.755252934640925987e-03
6.190954773869346894e+01,1.329914078327974715e-03
6.231155778894472519e+01,5.224661587238173689e-04
6.271356783919598143e+01,1.592876666301692003e-03
6.311557788944723768e+01,2.503341008536319294e-03
6.351758793969849393e+01,2.891980153861739480e-03
6.391959798994975017e+01,2.836152730977617616e-03
6.432160804020101352e+01,2.688823214205777155e-03
6.472361809045226266e+01,2.446297833077322459e-03
6.512562814070352601e+01,2.511369420772320039e-03
6.552763819095477515e+01,3.009243258142153040e-03
6.592964824120603851e+01,3.460932643340702223e-03
6.633165829145728765e+01,3.700983639086183417e-03
6.673366834170855100e+01,3.650012153855932556e-03
6.713567839195980014e+01,3.200723788287619144e-03
6.753768844221106349e+01,2.203412341340821139e-03
6.793969849246231263e+01,1.242540507394618169e-03
6.834170854271357598e+01,1.242508661299941914e-03
6.874371859296482512e+01,2.041795668297087703e-03
6.914572864321608847e+01,2.897704692311829037e-03
6.954773869346733761e+01,3.384653553257586933e-03
6.994974874371860096e+01,3.524608169986191177e-03
7.035175879396985010e+01,3.251233657580793711e-03
7.075376884422111345e+01,2.847205780039892709e-03
7.115577889447236259e+01,2.256849464118808497e-03
7.155778894472362595e+01,1.821253343834719485e-03
7.195979899497487509e+01,1.692091039382904224e-03
7.236180904522613844e+01,1.877599044803382770e-03
7.276381909547738758e+01,1.783188182881910357e-03
7.316582914572865093e+01,1.349775842065133007e-03
7.356783919597990007e+01,1.268599494982077490e-03
7.396984924623116342e+01,2.253207535875900204e-03
7.437185929648241256e+01,3.596974421160586185e-03
7.477386934673367591e+01,4.822631132590731763e-03
7.517587939698492505e+01,5.574002803427369548e-03
7.557788944723618840e+01,5.843163395140835159e-03
7.597989949748743754e+01,5.640013426276702449e-03
7.638190954773870089e+01,4.981181143884555636e-03
7.678391959798995003e+01,4.004751541119583140e-03
7.718592964824121339e+01,3.131338095228395485e-03
7.758793969849246253e+01,2.173636551269228240e-03
7.798994974874372588e+01,1.576090569751659089e-03
7.839195979899497502e+01,1.162270354976552462e-03
7.879396984924623837e+01,1.019791335420616772e-03
7.919597989949748751e+01,1.266221855077375542e-03
7.959798994974875086e+01,2.175907867324388886e-03
8.000000000000000000e+01,3.298875575767427383e-03
