vbeam,gamma_mean,gamma_std
0.000000000000000000e+00,-1.605085756395585237e-05,0.000000000000000000e+00
6.666666666666666297e-01,-4.064704395348050668e-04,0.000000000000000000e+00
1.333333333333333259e+00,5.864482773630144176e-03,0.000000000000000000e+00
2.000000000000000000e+00,1.291100040433221978e-03,4.164564657404654091e-03
2.666666666666666519e+00,1.211594295439324346e-03,0.000000000000000000e+00
3.333333333333333037e+00,3.798293839489240604e-03,0.000000000000000000e+00
4.000000000000000000e+00,1.494092699742808825e-02,0.000000000000000000e+00
4.666666666666666075e+00,1.988515135555778482e-02,2.585449040347875729e-03
5.333333333333333037e+00,1.734671881470082125e-02,0.000000000000000000e+00
6.000000000000000000e+00,1.233117392933214852e-02,0.000000000000000000e+00
6.666666666666666075e+00,6.195130297594419674e-03,8.363017716172677085e-04
7.333333333333333037e+00,1.558431593096069011e-02,1.734723475976807094e-18
8.000000000000000000e+00,1.861345668060258168e-02,0.000000000000000000e+00
8.666666666666666075e+00,1.549566449816460953e-02,1.734723475976807094e-18
9.333333333333332149e+00,1.643485312983942320e-02,2.306668570100527983e-03
1.000000000000000000e+01,1.602890213366593361e-02,0.000000000000000000e+00
