time,firstharmonic
# vbeam=8.0, gamma=0.0133, sat_time=None
0.000000000000000000e+00,6.202701106965722438e-03
4.020100502512563012e-01,6.096399481465094097e-03
8.040201005025126024e-01,5.230490844359185834e-03
1.206030150753768959e+00,4.300832869481158172e-03
1.608040201005025205e+00,3.889137381459407874e-03
2.010050251256281673e+00,3.915311759989438881e-03
2.412060301507537918e+00,3.706935758133770350e-03
2.814070351758794164e+00,2.931712509162317289e-03
3.216080402010050410e+00,1.446677311538514333e-03
3.618090452261306655e+00,2.454281312168164579e-03
4.020100502512563345e+00,5.321821390310775036e-03
4.422110552763819591e+00,8.215390688512718559e-03
4.824120603015075837e+00,1.060050314772959142e-02
5.226130653266332082e+00,1.238820408734180728e-02
5.628140703517588328e+00,1.374009063873874240e-02
6.030150753768844574e+00,1.459833744913387708e-02
6.432160804020100819e+00,1.528828212064947331e-02
6.834170854271357065e+00,1.608839681374620717e-02
7.236180904522613311e+00,1.687340299297052440e-02
7.638190954773869557e+00,1.820086328825441108e-02
8.040201005025126690e+00,2.046504485369638610e-02
8.442211055276382936e+00,2.421717403751897507e-02
8.844221105527639182e+00,2.932280402574870617e-02
9.246231155778895427e+00,3.572351779505513608e-02
9.648241206030151673e+00,4.270027704984618450e-02
1.005025125628140792e+01,5.011538142522509176e-02
1.045226130653266416e+01,5.746644752603347062e-02
1.085427135678392041e+01,6.505887600801671389e-02
1.125628140703517666e+01,7.299571976732721623e-02
1.165829145728643290e+01,8.197712328745632160e-02
1.206030150753768915e+01,9.216741448803963954e-02
1.246231155778894539e+01,1.039142618030000770e-01
1.286432160804020164e+01,1.177835326339995714e-01
1.326633165829145788e+01,1.332406213265013573e-01
1.366834170854271413e+01,1.502963921179287510e-01
1.407035175879397038e+01,1.689720311444649903e-01
1.447236180904522662e+01,1.875955777134737656e-01
1.487437185929648287e+01,2.051318182460985518e-01
1.527638190954773911e+01,2.208055223371411802e-01
1.567839195979899536e+01,2.335453398332857922e-01
1.608040201005025338e+01,2.406233854606418809e-01
1.648241206030150963e+01,2.398121883008424715e-01
1.688442211055276587e+01,2.290379727186586112e-01
1.728643216080402212e+01,2.063711852793018997e-01
1.768844221105527836e+01,1.719168664303372951e-01
1.809045226130653461e+01,1.316178878277741160e-01
1.849246231155779085e+01,9.971355425382263937e-02
1.889447236180904710e+01,9.252665445648278197e-02
1.929648241206030335e+01,1.170606516236550043e-01
1.969849246231155959e+01,1.662044428481813940e-01
2.010050251256281584e+01,2.236382805241038663e-01
2.050251256281407208e+01,2.712108130194939015e-01
2.090452261306532833e+01,2.932768440150276268e-01
2.130653266331658457e+01,2.834193252849374622e-01
2.170854271356784082e+01,2.456021598320028976e-01
2.211055276381909707e+01,1.897797389571919402e-01
2.251256281407035331e+01,1.293893212664127268e-01
2.291457286432160956e+01,7.922137830411542236e-02
2.331658291457286580e+01,4.942130366761128546e-02
2.371859296482412205e+01,3.801056146800532720e-02
2.412060301507537829e+01,4.591902707498739244e-02
2.452261306532663454e+01,8.570059052779099851e-02
2.492462311557789079e+01,1.461167628595707590e-01
2.532663316582914703e+01,2.113545955559553158e-01
2.572864321608040328e+01,2.691583604153650056e-01
2.613065326633165952e+01,3.100462265534966733e-01
2.653266331658291577e+01,3.280834928375914172e-01
2.693467336683417201e+01,3.201562057834689279e-01
2.733668341708542826e+01,2.861802647631372376e-01
2.773869346733668451e+01,2.338666057265351983e-01
2.814070351758794075e+01,1.754774188765763632e-01
2.854271356783919700e+01,1.282134628476387372e-01
2.894472361809045324e+01,1.035066178161804656e-01
2.934673366834170949e+01,9.668904488258388275e-02
2.974874371859296573e+01,1.062491145808905912e-01
3.015075376884422198e+01,1.397872766018758983e-01
3.055276381909547823e+01,1.902127735726822366e-01
3.095477386934673447e+01,2.389447881390283079e-01
3.135678391959799072e+01,2.715615368338909486e-01
3.175879396984924696e+01,2.792522577259887173e-01
3.216080402010050676e+01,2.594405494613268859e-01
3.256281407035176301e+01,2.147984451692973862e-01
3.296482412060301925e+01,1.533140055363846621e-01
3.336683417085427550e+01,8.929240549119887849e-02
